id-datalake,nct_id,brief_title,official_title,phase,recruitment_status,start_date,completion_date,primary_completion_date,enrollment,enrollment_type,indications,interventions_drugs,drugs_datalake,main_technologies,specific_technologies,target_names,target_abbreviations,start_year,duration,success
9425,NCT00431561,Phase IIb Clinical Trial With TGF-Î²2 Antisense Compound AP 12009 for Recurrent or Refractory High-grade Glioma,"Multi-national, Open-label, Active-controlled, Randomized Dose-finding Study to Evaluate Efficacy of 2 Doses of AP 12009 in Recurrent Glioma, Administered Intratumorally as Continuous High-flow Microperfusion Over 7 Days Every Other Week",2,completed,2003-04-30,2009-03-31,2009-03-31,141.0,ACTUAL,"['Glioblastoma', 'Anaplastic Astrocytoma']","['Trabedersen', 'Temozolomide', 'Procarbazine', 'Lomustine', 'Vincristine', 'Drug Delivery System', 'Intratumoral Route of Administration']","['B659', 'B2056', 'B267', 'B1807', 'B2083']","[['Antisense Oligonucleotide (ASO)'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Antisense Oligonucleotide (ASO)'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['TGF-Beta 2 mRNA'], ['DNA'], ['DNA'], ['DNA'], ['Tubulin beta-1 chain']]","[['TGF-B2 mRNA'], ['DNA'], ['DNA'], ['DNA'], ['TUBB1']]",2003.0,2162.0,1
3787,NCT00060567,Dose-Finding Study of E7070 in Combination With Irinotecan,Phase I Dose-Finding Study of E7070 in Combination With Irinotecan,1,completed,2003-03-31,2013-03-31,2013-03-31,88.0,ACTUAL,['Cancer'],"['Indisulam', 'Irinotecan']","['B2038', 'B1679']","[['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule']]","[['DDB1 and CUL4 associated factor 15', 'RNA binding motif protein 39'], ['DNA topoisomerase I']]","[['DCAF15', 'RBM39'], ['TOP1']]",2003.0,3653.0,1
4060,NCT00071955,Vaccine Therapy and Sargramostim After Rituximab in Treating Patients With Refractory or Progressive Non-Hodgkin's Lymphoma,"A Phase II Study to Evaluate Safety and Efficacy of Specific Immunotherapy, Recombinant Idiotype Conjugated to KLH and GM-CSF Following the Anti-CD20 Antibody, Rituximab, in Previously Treated Patients With Follicular Non-Hodgkin's Lymphoma",2,completed,2003-03-31,2009-01-31,,,,['Hematology'],"['Autologous Immunoglobulin Idiotype-KLH Conjugate Vaccine', 'Sargramostim']",['B181'],[['Other Protein Therapy']],[['Colony-Stimulating Factor']],[['Granulocyte-macrophage colony-stimulating factor receptor']],[['CSF-2R']],2003.0,2133.0,1
3771,NCT00060242,Combretastatin A4 Phosphate in Treating Patients With Advanced Anaplastic Thyroid Cancer,Phase II Trial Of Combretastatin A-4 Phosphate (CA4P) In Advanced Anaplastic Carcinoma Of The Thyroid,2,completed,2003-02-28,2008-01-31,2007-02-28,26.0,ACTUAL,['Head and Neck Neoplasm'],['fosbretabulin disodium'],['B8420'],[[]],[[]],[[]],[[]],2003.0,1798.0,1
5431,NCT00122499,A Study to Assess the Efficacy of Tadalafil to Treat Erectile Dysfunction After Radiotherapy of Prostate Cancer,A Study to Assess the Efficacy of Tadalafil to Treat Erectile Dysfunction After Radiotherapy of Prostate Cancer,3,completed,2003-02-28,2005-02-28,,,,"['Prostate Cancer', 'Erectile Dysfunction']",['Tadalafil'],['B2040'],[['Small Molecule']],[['Small Molecule']],[['Phosphodiesterase 5A']],[['PDE5A']],2003.0,731.0,1
3792,NCT00060710,CP-461 in the Treatment of Patients With Advanced Melanoma,Phase II Study of CP-461 in the Treatment of Patients With Advanced Melanoma,2,terminated,2003-01-31,2004-12-31,,35.0,,['Malignant Melanoma'],['Proapoptotic Sulindac Analog CP-461'],[],[],[],[],[],2003.0,700.0,0
8117,NCT00334295,Fulvestrant for the Treatment of Recurrent or Metastatic Endometrial Carcinoma.,"An Open, Non-randomised Multicentre Phase II Study to Assess the Efficacy and Tolerability of a 250 mg Monthly Dose of i.m. Applied Fulvestrant for the Treatment of Recurrent or Metastatic Endometrial Carcinoma.",2,completed,2002-12-31,2011-01-31,2011-01-31,35.0,ACTUAL,['Endometrial Cancer'],['Fulvestrant'],['B276'],[['Small Molecule']],[['Small Molecule']],[['Estrogen receptors']],[['ER']],2002.0,2953.0,1
3709,NCT00058006,Celecoxib in Treating Patients With Early-Stage Head and Neck Cancer or Non-Small Cell Lung Cancer,Pilot Randomized Trial Of Adjuvant Celecoxib In Patients With Early Stage Head And Neck And Non-Small Cell Lung Cancers,2,completed,2002-09-30,2006-12-31,2006-12-31,,,"['Head and Neck Neoplasm', 'Thoracic Neoplasm']","['Celecoxib', 'Adjuvant Therapy']",['B72'],[['Small Molecule']],[['Small Molecule']],[['Cyclooxygenase-2']],[['COX-2']],2002.0,1553.0,1
3371,NCT00047242,UCN-01 and Irinotecan in Treating Patients With Advanced Solid Tumors,"The Pharmacokinetic and Safety Profile of UCN-01 in Combination With Irinotecan in Solid Tumors (Primarily Lung, Ovarian and GI Cancers)",1,completed,2002-08-31,,2006-02-28,30.0,ESTIMATED,['Solid Tumors'],"['UCN 01', 'irinotecan hydrochloride']","['B2137', 'B9055']","[['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule']]","[['3-phosphoinositide-dependent protein kinase 1', 'Checkpoint kinase 1', 'Protein kinase C'], []]","[['PDK1', 'Chk1', 'PKC'], []]",2002.0,,1
5775,NCT00149019,Immunotherapy of Cancer Using Donor Lymphocytes Labelled With In-vitro Bispecific Antibodies.,Innovative Approaches for Targeted Immunotherapy of Cancer Using Donor Lymphocytes Labelled With In-vitro Bispecific Antibodies.,2,withdrawn,2002-05-31,2005-09-30,,12.0,ESTIMATED,['Epithelial Neoplasm'],['T-cell Engaging Bispecific Antibody'],[],[],[],[],[],2002.0,1218.0,0
